RNG,SamplesPower,Energy,EnergyDev,Magnetization,Heat,HeatDev,Temperature
mt,3,-1.4507,0.737843,0.710313,1.50607,0,2.26918
rnlx0,3,-1.46523,0.745378,0.721063,1.57804,0,2.26918
r250,3,-1.45275,0.738532,0.715008,1.40929,0,2.26918
mt,4,-1.45157,0.233451,0.714325,1.49298,0.0126199,2.26918
rnlx0,4,-1.452,0.233524,0.712613,1.4956,0.0181682,2.26918
r250,4,-1.45205,0.2335,0.711771,1.46915,0.0125929,2.26918
mt,5,-1.4525,0.0738723,0.713161,1.49845,0.0059356,2.26918
rnlx0,5,-1.45117,0.0738079,0.712004,1.50497,0.00609168,2.26918
r250,5,-1.45383,0.0739259,0.71519,1.46037,0.00609557,2.26918
mt,6,-1.45294,0.0233672,0.713428,1.4973,0.00204259,2.26918
rnlx0,6,-1.45222,0.0233574,0.712511,1.51139,0.00195741,2.26918
r250,6,-1.45442,0.0233872,0.71512,1.46539,0.00190334,2.26918
mt,7,-1.45308,0.00739011,0.713425,1.49731,0.000642402,2.26918
rnlx0,7,-1.45235,0.00738684,0.712611,1.50861,0.000636599,2.26918
r250,7,-1.45431,0.00739504,0.71495,1.46253,0.000613567,2.26918
