,RNG,10^N,Energy,EnergyError,Magnetization,Heat,Heat error,Temperature,Ediff,Cdiff
1,mt,3,-1.45070000,0.73784300,0.71031300,1.50607000,NaN,2.26918000,0.00320393,NaN
2,rnlx0,3,-1.46523000,0.74537800,0.72106300,1.57804000,NaN,2.26918000,-0.01632192,NaN
3,r250,3,-1.45275000,0.73853200,0.71500800,1.40929000,NaN,2.26918000,0.00042517,NaN
4,mt,4,-1.45157000,0.23345100,0.71432500,1.49298000,0.0126199,2.26918000,0.00639963,-0.45483720156261764
5,rnlx0,4,-1.45200000,0.23352400,0.71261300,1.49560000,0.018168200000000002,2.26918000,0.00455628,-0.17172862473993084
6,r250,4,-1.45205000,0.23350000,0.71177100,1.46915000,0.0125929,2.26918000,0.00434261,-2.34814855990281
7,mt,5,-1.45250000,0.07387230,0.71316100,1.49845000,0.0059356,2.26918000,0.00763480,-0.045488240447468235
8,rnlx0,5,-1.45117000,0.07380790,0.71200400,1.50497000,0.00609168,2.26918000,0.02566121,1.0259895463977242
9,r250,5,-1.45383000,0.07392590,0.71519000,1.46037000,0.00609557,2.26918000,-0.01036173,-6.291454285653333
10,mt,6,-1.45294000,0.02336720,0.71342800,1.49730000,0.00204259,2.26918000,0.00530658,-0.6951958053255802
11,rnlx0,6,-1.45222000,0.02335740,0.71251100,1.51139000,0.00195741,2.26918000,0.03613416,6.472839108822351
12,r250,6,-1.45442000,0.02338720,0.71512000,1.46539000,0.00190334,2.26918000,-0.05798043,-17.511322202023855
13,mt,7,-1.45308000,0.00739011,0.71342500,1.49731000,0.0006424019999999999,2.26918000,-0.00216506,-2.19488731355119
14,rnlx0,7,-1.45235000,0.00738684,0.71261100,1.50861000,0.0006365990000000001,2.26918000,0.09665838,15.53568258825407
15,r250,7,-1.45431000,0.00739504,0.71495000,1.46253000,0.000613567,2.26918000,-0.16849131,-58.982963555732574
